,pdbid,predicted,real,set
77,1gpk,7.321839,5.37,test2016
78,4w9c,4.712296,4.65,test2016
79,4w9l,5.8758516,5.02,test2016
80,1ydt,6.1179247,7.32,test2016
81,3twp,3.8961565,3.92,test2016
82,1o5b,6.153882,5.77,test2016
83,1h22,8.59541,9.1,test2016
84,3g31,3.5430481,2.89,test2016
85,2wtv,7.6054287,8.74,test2016
86,2j7h,6.1418314,7.19,test2016
87,3utu,8.073169,10.92,test2016
88,4cig,4.686487,3.67,test2016
89,3bgz,6.896559,6.26,test2016
90,3e5a,6.618081,8.23,test2016
91,3uex,6.077775,6.92,test2016
92,1z9g,4.4915915,5.64,test2016
93,3n76,5.559493,6.85,test2016
94,4gr0,7.961729,9.55,test2016
95,4m0y,5.1530304,6.46,test2016
96,4ea2,6.672203,6.44,test2016
97,4gfm,6.4333963,7.22,test2016
98,2xnb,7.7235184,6.83,test2016
99,3g0w,9.133716,9.52,test2016
100,2vw5,5.7404404,8.52,test2016
101,3g2n,3.5464928,4.09,test2016
102,2j78,5.2063756,6.42,test2016
103,2xbv,8.162293,8.43,test2016
104,4kzq,6.718066,6.1,test2016
105,3dx1,4.8713493,3.58,test2016
106,2wnc,7.1272955,6.32,test2016
107,3d6q,3.6153262,3.76,test2016
108,1qf1,7.506217,7.32,test2016
109,2yki,6.3381114,9.46,test2016
110,3f3d,5.417906,7.16,test2016
111,2p4y,8.530734,9.0,test2016
112,5c28,4.3043423,5.66,test2016
113,3wtj,7.406522,6.53,test2016
114,4de1,5.091098,5.96,test2016
115,2wer,7.8785133,7.05,test2016
116,3lka,5.6321635,2.82,test2016
117,4cr9,3.3222935,4.1,test2016
118,4e6q,8.293762,8.36,test2016
119,3pww,6.6570587,7.32,test2016
120,4mme,6.3147564,6.5,test2016
121,2xdl,4.271614,3.1,test2016
122,4agq,5.186174,5.01,test2016
123,2hb1,4.2852726,3.8,test2016
124,4k77,6.957165,6.63,test2016
125,2br1,7.0114355,5.14,test2016
126,4dli,4.909465,5.62,test2016
127,3ge7,7.0140944,8.7,test2016
128,3ehy,7.515334,5.85,test2016
129,3uew,5.838383,6.31,test2016
130,2zda,6.0742655,8.4,test2016
131,1yc1,7.381682,6.17,test2016
132,3pyy,6.8590927,6.86,test2016
133,2weg,6.6075273,6.5,test2016
134,3jvs,5.934739,6.54,test2016
135,3fv1,8.056134,9.3,test2016
136,4ogj,7.3582845,6.79,test2016
137,3ary,4.957856,6.0,test2016
138,3ozt,5.940397,4.13,test2016
139,4w9i,4.834573,5.96,test2016
140,2cet,8.2639265,8.02,test2016
141,3p5o,7.1358213,7.26,test2016
142,1q8u,6.330838,5.96,test2016
143,3jvr,6.047698,5.72,test2016
144,1qkt,7.1229906,9.04,test2016
145,3ivg,5.670068,4.3,test2016
146,1p1q,6.802513,4.89,test2016
147,4kzu,6.1947403,6.5,test2016
148,3b27,6.6762447,5.16,test2016
149,4ivb,7.773491,8.72,test2016
150,1h23,8.644305,8.35,test2016
151,2zcq,7.7086544,8.82,test2016
152,2yfe,6.797581,6.63,test2016
153,4ddh,3.3482456,3.3,test2016
154,4abg,3.6005428,3.57,test2016
155,1ydr,6.4606504,5.52,test2016
156,3qgy,7.28867,7.8,test2016
157,3dx2,5.1140966,6.82,test2016
158,3cj4,5.684211,6.51,test2016
159,3nq9,6.278616,4.03,test2016
160,1gpn,8.08461,6.48,test2016
161,1pxn,5.504822,7.15,test2016
162,4f3c,10.236697,11.82,test2016
163,4cra,7.1793427,7.22,test2016
164,3e93,8.678524,8.85,test2016
165,3myg,7.6705165,10.7,test2016
166,3f3c,5.0401354,6.02,test2016
167,4ih7,4.5143437,5.24,test2016
168,1c5z,3.3768637,4.01,test2016
169,4kz6,2.6447718,3.1,test2016
170,3ozs,6.0041065,5.33,test2016
171,3oe4,6.0582232,7.47,test2016
172,4qd6,6.5835733,8.64,test2016
173,3e92,7.923208,8.0,test2016
174,3f3e,6.1004915,7.7,test2016
175,2yge,5.6376896,5.06,test2016
176,1sqa,7.6623588,9.21,test2016
177,3syr,4.397859,5.1,test2016
178,3ui7,7.9636526,9.0,test2016
179,4jia,8.004739,9.22,test2016
180,4eor,6.388224,6.3,test2016
181,2qbr,5.254301,6.33,test2016
182,4j3l,6.7636023,7.8,test2016
183,1mq6,9.552534,11.15,test2016
184,5dwr,10.069844,11.22,test2016
185,3qqs,5.323024,5.82,test2016
186,4crc,7.242011,8.72,test2016
187,3kwa,4.17464,4.08,test2016
188,1e66,7.498351,9.89,test2016
189,3f3a,4.777596,4.19,test2016
190,5c2h,9.0563,11.09,test2016
191,3uuo,7.0286493,7.96,test2016
192,3gc5,6.7006626,7.26,test2016
193,1p1n,4.786249,6.8,test2016
194,2ymd,7.0634003,3.16,test2016
195,2cbv,5.459078,5.48,test2016
196,3b1m,6.2263002,8.48,test2016
197,4jfs,6.028682,5.27,test2016
198,3jya,6.221033,6.89,test2016
199,3rlr,7.7762527,7.52,test2016
200,1u1b,7.676619,7.8,test2016
201,3prs,6.079402,7.82,test2016
202,2p15,8.600528,10.3,test2016
203,3uo4,7.3282814,6.52,test2016
204,5aba,3.2896373,2.98,test2016
205,4lzs,4.058922,4.8,test2016
206,2qbp,6.1756277,8.4,test2016
207,3oe5,6.8383675,6.88,test2016
208,1o0h,5.5921063,5.92,test2016
209,2y5h,7.696698,5.79,test2016
210,2r9w,5.0428896,5.1,test2016
211,2pog,7.1854377,9.54,test2016
212,2vvn,7.4091187,7.3,test2016
213,4e5w,8.849631,7.66,test2016
214,3arp,7.1662393,7.15,test2016
215,4ivc,7.436083,10.0,test2016
216,1ps3,4.9026365,2.28,test2016
217,5a7b,5.157237,3.57,test2016
218,2iwx,6.064593,6.68,test2016
219,1r5y,5.190073,6.46,test2016
220,3udh,4.319381,2.85,test2016
221,1nc1,6.3649893,6.12,test2016
222,4de3,4.8378544,5.52,test2016
223,3zso,4.7371116,5.12,test2016
224,4ivd,7.142189,9.52,test2016
225,4djv,6.9010353,6.72,test2016
226,3ejr,6.226534,8.57,test2016
227,4agp,5.2009087,4.69,test2016
228,4w9h,6.5698547,6.73,test2016
229,3o9i,10.694497,11.82,test2016
230,1eby,9.966838,9.7,test2016
231,2qnq,6.474841,6.11,test2016
232,1oyt,6.7005854,7.24,test2016
233,3gnw,7.4049554,9.1,test2016
234,4j21,7.317639,7.41,test2016
235,1vso,4.3945637,4.72,test2016
236,4pcs,6.850392,7.85,test2016
237,3zsx,3.9968512,3.28,test2016
238,4jsz,4.9763336,2.3,test2016
239,1nvq,8.422919,8.25,test2016
240,1bzc,5.7552266,4.92,test2016
241,4de2,4.731244,4.12,test2016
242,4gid,7.993017,10.77,test2016
243,3uev,5.999756,5.89,test2016
244,2fvd,7.0384455,8.52,test2016
245,4gkm,5.638117,5.17,test2016
246,3k5v,7.414913,6.3,test2016
247,3ebp,5.506838,5.91,test2016
248,3gbb,7.1366086,6.9,test2016
249,2w66,5.1999264,4.05,test2016
250,2fxs,6.9668016,6.06,test2016
251,3r88,3.7988884,4.82,test2016
252,3rr4,6.4739485,4.55,test2016
253,2vkm,8.151783,8.74,test2016
254,4agn,4.0650115,3.97,test2016
255,3kr8,7.988079,8.1,test2016
256,4qac,8.788741,9.4,test2016
257,4owm,3.8128788,2.96,test2016
258,3arq,6.388604,6.4,test2016
259,2zb1,7.2669687,6.32,test2016
260,3g2z,2.2089252,2.36,test2016
261,4hge,8.382464,7.92,test2016
262,4twp,7.936782,10.0,test2016
263,2w4x,4.668577,4.85,test2016
264,3wz8,6.2994328,5.82,test2016
265,3fv2,7.1431246,8.11,test2016
266,1lpg,8.135058,7.09,test2016
267,3nw9,7.473207,9.0,test2016
268,4llx,3.3584628,2.89,test2016
269,4eo8,7.468012,8.15,test2016
270,3nx7,7.9521174,8.1,test2016
271,1y6r,10.150658,10.11,test2016
272,4ty7,8.344789,9.52,test2016
273,3b68,7.9646525,8.4,test2016
274,2al5,6.260569,8.4,test2016
275,2qe4,6.575842,7.96,test2016
276,4x6p,8.758407,8.3,test2016
277,2v00,3.6598005,3.66,test2016
278,3zt2,3.6914144,2.84,test2016
