,pdbid,predicted,real,set
76,2qhz,8.82244,7.28,testcsar
77,3eko,5.6112366,6.7,testcsar
78,1b6l,6.9821835,8.3,testcsar
79,1ec1,10.676097,8.92,testcsar
80,2h6b,4.4257216,5.39,testcsar
81,2ayr,8.025645,9.29,testcsar
82,2r5p,9.50707,8.48,testcsar
83,2pow,8.988255,7.2,testcsar
84,1sr7,9.38442,10.1,testcsar
85,3fat,7.1683083,7.64,testcsar
86,2pvu,6.4272976,6.31,testcsar
87,1tr7,6.593996,6.82,testcsar
88,1ui0,4.084299,7.06,testcsar
89,1iy7,7.27814,6.19,testcsar
90,1gjd,7.1465244,5.22,testcsar
91,2f5t,4.0224037,5.17,testcsar
92,2ihj,5.039419,4.59,testcsar
93,2hzy,5.1516957,7.39,testcsar
94,1b6m,7.9639616,8.4,testcsar
95,1o5a,6.2396955,6.42,testcsar
96,1x9d,4.4125705,3.96,testcsar
97,2il2,7.8462644,7.1,testcsar
98,2i0d,9.834964,12.1,testcsar
99,3bu1,7.2682323,8.15,testcsar
100,2hr6,4.609323,4.82,testcsar
101,2pgz,6.555891,5.74,testcsar
102,2hdq,3.244172,1.4,testcsar
103,2qi4,8.448852,10.44,testcsar
104,2isw,6.335352,7.43,testcsar
105,3d2r,5.5961027,5.48,testcsar
106,2qbs,5.95548,6.68,testcsar
107,1ebz,8.499891,9.4,testcsar
108,2qi1,7.15654,7.3,testcsar
109,1q72,5.784996,6.85,testcsar
110,1gzc,3.2996943,3.49,testcsar
111,2q89,6.368155,6.3,testcsar
112,2h21,4.147338,6.54,testcsar
113,2nsj,4.6074357,4.79,testcsar
114,1tok,4.1679716,2.47,testcsar
115,2pwg,5.792246,4.82,testcsar
116,1utm,2.2624078,3.01,testcsar
117,1o5r,7.353411,8.12,testcsar
118,2flr,5.913354,6.1,testcsar
119,2q54,7.8275003,9.01,testcsar
120,2boj,6.021986,5.77,testcsar
121,2nmx,6.924391,5.57,testcsar
122,2qi6,7.454644,10.57,testcsar
123,2jfz,6.66105,5.24,testcsar
124,2qry,7.399544,8.64,testcsar
125,2fw6,3.1602015,2.92,testcsar
126,3c2f,4.0746307,2.0,testcsar
127,3b50,6.5770006,7.55,testcsar
128,2jbj,6.890249,9.7,testcsar
129,2e2p,5.291215,4.74,testcsar
130,1nli,5.5904517,3.59,testcsar
131,2hj4,4.1202497,5.37,testcsar
132,3d51,4.8606563,4.15,testcsar
133,2bvd,3.2163293,6.0,testcsar
134,2zn7,5.5612774,7.89,testcsar
135,2uwl,8.473324,8.4,testcsar
136,2jj3,8.8873415,9.55,testcsar
137,2psv,9.188714,7.24,testcsar
138,1gx0,4.415107,4.22,testcsar
139,1gja,5.239723,5.42,testcsar
140,1gj8,7.4723263,6.96,testcsar
141,2a3c,4.952654,4.43,testcsar
142,1y0l,7.490472,9.0,testcsar
143,2pou,7.9518304,7.42,testcsar
144,2oiq,6.5123,5.0,testcsar
145,2j4i,8.826554,9.0,testcsar
146,2pqc,6.4305544,5.74,testcsar
147,1y1m,5.193294,1.82,testcsar
148,2p16,7.41254,10.1,testcsar
149,2q8z,5.147907,5.68,testcsar
150,3brn,5.654255,8.7,testcsar
151,3bl0,7.6316023,6.92,testcsar
152,2afx,3.87044,5.15,testcsar
153,2j34,8.38449,7.82,testcsar
154,2i2c,5.35538,4.7,testcsar
155,1q4w,5.311183,6.46,testcsar
156,2ovv,7.3244095,7.92,testcsar
157,2e2r,6.66849,8.26,testcsar
158,1ydk,4.893817,5.89,testcsar
159,3ddg,4.8258963,6.0,testcsar
160,2nnq,7.1405935,8.7,testcsar
161,2r6w,8.534709,9.36,testcsar
162,1s9t,7.2594576,6.82,testcsar
163,2j4k,6.436447,4.85,testcsar
164,2uy4,5.2115335,4.68,testcsar
165,3f8c,6.319483,7.68,testcsar
166,2bys,7.6087513,9.52,testcsar
167,2nn1,6.99606,5.82,testcsar
168,1ec2,9.651012,10.0,testcsar
169,3cda,7.131705,7.58,testcsar
170,3eqr,7.5574174,8.7,testcsar
171,2jke,5.230588,4.23,testcsar
172,1duv,6.8472023,11.8,testcsar
173,1toi,4.54186,4.05,testcsar
174,2vuk,4.4485817,3.9,testcsar
175,1lrh,5.4591246,6.82,testcsar
176,2q88,5.7377014,5.8,testcsar
177,1iup,3.3920834,2.54,testcsar
178,2epn,6.93125,7.22,testcsar
179,1jgl,7.0842576,8.7,testcsar
180,1w2g,3.7912066,4.57,testcsar
181,1gww,4.169331,3.59,testcsar
182,1toj,4.41947,3.39,testcsar
183,2qi3,9.598962,10.2,testcsar
184,1syh,5.747752,6.41,testcsar
185,1gyy,2.8861377,3.64,testcsar
186,2byr,8.01784,8.55,testcsar
187,2oag,8.059239,8.47,testcsar
188,3czv,6.960216,7.8,testcsar
189,3b92,5.4947233,8.0,testcsar
190,1h46,4.770286,3.57,testcsar
191,3c2r,4.3299575,3.11,testcsar
192,1ax0,3.8528085,3.13,testcsar
193,2cji,8.542804,8.22,testcsar
194,1ua4,4.866933,4.22,testcsar
195,2fxu,7.9252615,8.15,testcsar
196,3ekr,6.831934,7.52,testcsar
197,1usk,5.7546177,6.4,testcsar
198,2aac,5.0293818,2.22,testcsar
199,2hd6,7.463089,7.8,testcsar
200,1s39,5.1293488,7.7,testcsar
201,1ow4,4.761119,5.68,testcsar
202,1uz1,5.548699,6.89,testcsar
203,2c92,6.122012,5.68,testcsar
204,2qhy,8.746155,7.48,testcsar
205,2rkd,2.716328,2.72,testcsar
206,3f48,5.184758,6.29,testcsar
207,3cd7,7.7311974,7.84,testcsar
208,1uwu,5.5700045,5.98,testcsar
209,2c94,6.677229,6.82,testcsar
210,2vmd,3.20544,3.02,testcsar
211,1usi,5.886953,6.74,testcsar
212,1kzk,9.500044,10.39,testcsar
213,3d83,7.878259,8.36,testcsar
214,2hzl,5.1159916,6.57,testcsar
215,3cd0,8.3904085,7.57,testcsar
216,2v77,6.1604815,5.06,testcsar
217,2p95,7.4660454,9.37,testcsar
218,2fqt,5.0282707,6.14,testcsar
219,1y1z,5.6128883,3.08,testcsar
220,2nta,5.7052712,4.8,testcsar
221,1yxd,4.339774,5.3,testcsar
222,2cem,9.781761,7.92,testcsar
223,1ec0,8.687806,8.49,testcsar
224,1nw5,5.0344944,5.21,testcsar
225,1tt1,7.2746778,8.15,testcsar
226,1x8d,4.2888436,2.21,testcsar
227,2fai,5.790267,6.24,testcsar
228,1z3t,3.646948,3.94,testcsar
229,2b1q,1.7425517,1.59,testcsar
230,1dy4,5.5085244,4.36,testcsar
231,2fdp,8.074711,7.59,testcsar
232,1u1w,5.0443826,5.85,testcsar
233,2cen,9.500196,8.3,testcsar
234,1ha2,5.0285187,5.54,testcsar
235,1ws4,3.480778,3.0,testcsar
236,2vpn,4.7872047,6.72,testcsar
237,1enu,4.8750505,5.08,testcsar
238,3b7r,7.5225706,7.7,testcsar
239,1a99,2.8450115,5.7,testcsar
240,1xge,5.895179,4.68,testcsar
241,2v2c,3.1617038,3.41,testcsar
242,1ugx,3.318385,5.91,testcsar
243,2h6t,9.393962,7.22,testcsar
244,1fh9,7.401571,6.43,testcsar
245,1v0l,6.9716597,7.55,testcsar
246,1b6j,7.2402854,7.92,testcsar
247,1fh8,6.05564,6.89,testcsar
248,1fhd,6.363174,6.82,testcsar
249,1rdn,2.3928044,1.84,testcsar
250,2fv5,7.2957835,11.7,testcsar
251,1ax1,2.379792,3.29,testcsar
252,1ax2,2.6624281,3.99,testcsar
253,1gz9,2.9612105,3.51,testcsar
254,1swk,11.114286,12.0,testcsar
